instance_name;beta;h;max_time;seed;ML_used;makespan;makespan_bb;;;;;;;;;;
t_j20_m10.txt;0.4;0.75;60;123452;9;1591;1610.605;;;;;;;;;;
t_j20_m10.txt;0.4;0.75;60;4354512;7;1591;1606.27;;;;;;;;;;
t_j20_m10.txt;0.4;0.75;60;4354512;8;1591;1606.27;;;;;;;;;;
t_j20_m10.txt;0.4;0.75;60;4354512;9;1591;1606.27;;;;;;;;;;
t_j20_m20.txt;0.4;0.75;60;12345;7;2328;2361.6075;;;;;;;;;;
t_j20_m20.txt;0.4;0.75;60;12345;8;2328;2361.6075;;;;;;;;;;
t_j20_m20.txt;0.4;0.75;60;12345;9;2306;2335.785;;;;;;;;;;
t_j20_m20.txt;0.4;0.75;60;435451;7;2324;2363.0975;;;;;;;;;;
t_j20_m20.txt;0.4;0.75;60;435451;8;2324;2363.0975;;;;;;;;;;
t_j20_m20.txt;0.4;0.75;60;435451;9;2325;2354.64;;;;;;;;;;
t_j20_m20.txt;0.4;0.75;60;56162;7;2319;2353.555;;;;;;;;;;
t_j20_m20.txt;0.4;0.75;60;56162;8;2319;2353.555;;;;;;;;;;
t_j20_m20.txt;0.4;0.75;60;56162;9;2319;2353.555;;;;;;;;;;
t_j20_m20.txt;0.4;0.75;60;68813;7;2325;2354.64;;;;;;;;;;
t_j20_m20.txt;0.4;0.75;60;68813;8;2325;2354.64;;;;;;;;;;
t_j20_m20.txt;0.4;0.75;60;68813;9;2323;2344.7725;;;;;;;;;;
t_j20_m20.txt;0.4;0.75;60;368387;7;2310;2344.785;;;;;;;;;;
t_j20_m20.txt;0.4;0.75;60;368387;8;2310;2344.785;;;;;;;;;;
t_j20_m20.txt;0.4;0.75;60;368387;9;2310;2344.785;;;;;;;;;;
t_j20_m20.txt;0.4;0.75;60;687619;7;2327;2347.6025;;;;;;;;;;
t_j20_m20.txt;0.4;0.75;60;687619;8;2327;2347.6025;;;;;;;;;;
t_j20_m20.txt;0.4;0.75;60;687619;9;2327;2347.6025;;;;;;;;;;
t_j20_m20.txt;0.4;0.75;60;354135;7;2325;2354.64;;;;;;;;;;
t_j20_m20.txt;0.4;0.75;60;354135;8;2325;2354.64;;;;;;;;;;
t_j20_m20.txt;0.4;0.75;60;354135;9;2325;2354.64;;;;;;;;;;
t_j20_m20.txt;0.4;0.75;60;839113;7;2327;2335.75;;;;;;;;;;
t_j20_m20.txt;0.4;0.75;60;839113;8;2327;2335.75;;;;;;;;;;
t_j20_m20.txt;0.4;0.75;60;839113;9;2327;2335.75;;;;;;;;;;
t_j20_m20.txt;0.4;0.75;60;123452;7;2323;2347.5325;;;;;;;;;;
t_j20_m20.txt;0.4;0.75;60;123452;8;2323;2347.5325;;;;;;;;;;
t_j20_m20.txt;0.4;0.75;60;123452;9;2323;2347.5325;;;;;;;;;;
t_j20_m20.txt;0.4;0.75;60;4354512;7;2322;2346.6075;;;;;;;;;;
t_j20_m20.txt;0.4;0.75;60;4354512;8;2316;2371.1475;;;;;;;;;;
t_j20_m20.txt;0.4;0.75;60;4354512;9;2325;2354.64;;;;;;;;;;
t_j50_m5.txt;0.4;0.75;60;12345;7;2724;2757.6825;;;;;;;;;;
t_j50_m5.txt;0.4;0.75;60;12345;8;2724;2757.6825;;;;;;;;;;
t_j50_m5.txt;0.4;0.75;60;12345;9;2724;2754.3825;;;;;;;;;;
t_j50_m5.txt;0.4;0.75;60;435451;7;2724;2748.0075;;;;;;;;;;
t_j50_m5.txt;0.4;0.75;60;435451;8;2724;2748.0075;;;;;;;;;;
t_j50_m5.txt;0.4;0.75;60;435451;9;2724;2744.7075;;;;;;;;;;
t_j50_m5.txt;0.4;0.75;60;56162;7;2724;2758.0575;;;;;;;;;;
t_j50_m5.txt;0.4;0.75;60;56162;8;2724;2758.0575;;;;;;;;;;
t_j50_m5.txt;0.4;0.75;60;56162;9;2724;2758.0575;;;;;;;;;;
t_j50_m5.txt;0.4;0.75;60;68813;7;2724;2746.0125;;;;;;;;;;
t_j50_m5.txt;0.4;0.75;60;68813;8;2724;2746.0125;;;;;;;;;;
t_j50_m5.txt;0.4;0.75;60;68813;9;2724;2746.0125;;;;;;;;;;
t_j50_m5.txt;0.4;0.75;60;368387;7;2724;2751.57;;;;;;;;;;
t_j50_m5.txt;0.4;0.75;60;368387;8;2724;2751.57;;;;;;;;;;
t_j50_m5.txt;0.4;0.75;60;368387;9;2724;2751.57;;;;;;;;;;
t_j50_m5.txt;0.4;0.75;60;687619;7;2724;2752.2825;;;;;;;;;;
t_j50_m5.txt;0.4;0.75;60;687619;8;2724;2752.2825;;;;;;;;;;
t_j50_m5.txt;0.4;0.75;60;687619;9;2724;2752.2825;;;;;;;;;;
