;0.1;;0.2;;0.3;;0.4;;0.5;;0.6;;0.7;;0.8;;;
;Min;Promedio;Min;Promedio;Min;Promedio;Min;Promedio;Min;Promedio;Min;Promedio;Min;Promedio;Min;Promedio;;
t_j20_m5.txt;1278;1278;1278;1278;1278;1278;1278;1278;1278;1278;1278;1278;1278;1278;1278;1278;1278;1278
t_j20_m10.txt;1587;1594.2;1588;1594.2;1591;1595.2;1591;1596.8;1591;1592.8;1591;1600.2;1591;1602.6;1601;1610.8;1587;1598.35
t_j20_m20.txt;2308;2319.6;2315;2319.2;2317;2327.6;2310;2321.2;2325;2328;2318;2323.4;2308;2321.6;2324;2326.2;2308;2323.35
t_j50_m5.txt;2724;2724;2724;2724;2724;2724;2724;2724;2724;2724;2724;2724;2724;2724;2724;2724;2724;2724
t_j50_m10.txt;3104;3112.8;3086;3100.2;3085;3091;3097;3104;3098;3106.8;3090;3097.8;3080;3101.2;3089;3104.6;3080;3102.3
t_j50_m20.txt;4021;4028.6;4006;4023.2;4000;4020;4011;4019;4005;4010.4;4000;4008.2;3997;4016;3996;4005.6;3996;4016.375
t_j100_m5.txt;5493;5494.8;5495;5496.6;5493;5495.2;5494;5496.6;5495;5495;5495;5495;5495;5496.6;5495;5495.6;5493;5495.675
t_j100_m10.txt;5820;5827.2;5812;5821.8;5819;5823.4;5801;5815.6;5802;5813;5788;5812;5809;5815;5807;5816.4;5788;5818.05
t_j100_m20.txt;6503;6524.8;6518;6534.6;6479;6515.8;6506;6510.6;6491;6525;6518;6531.2;6505;6521;6488;6509.2;6479;6521.525
t_j200_m10.txt;10944;10956.6;10942;10953.8;10921;10955.2;10942;10953.4;10947;10964.2;10921;10949;10950;10959.8;10947;10956.2;10921;10956.025
t_j200_m20.txt;11570;11633;11575;11618.4;11573;11615.2;11574;11609.6;11574;11594;11593;11616;11556;11590.6;11564;11599;11556;11609.475
t_j500_m20.txt;26697;26767.6;26745;26780.2;26651;26748.6;26725;26776.4;26755;26788.2;26712;26762.6;26709;26751.6;26734;26789;26651;26770.525
Total;6837.42;6855.10;6840.33;6853.68;6827.58;6849.10;6837.75;6850.43;6840.42;6851.62;6835.67;6849.78;6833.50;6848.17;6837.25;6851.22;;
